nationality,destination_country,visa_type,gender,age,education_level,employment_status,travel_purpose,language_proficiency,annual_income,bank_balance,travel_history_count,previous_rejections,accommodation_proof,return_ticket,invitation_letter,health_insurance,approval_status,processing_days
Egypt,Netherlands,Immigrant/PR,Male,73,Bachelor's Degree,Self-Employed,Education,Native,12809.99,15373.77,2,0,1,1,1,1,0,55
Venezuela,Italy,Family/Spouse,Male,73,Bachelor's Degree,Private Sector,Conference,Advanced,9557.15,11969.37,1,0,0,1,1,1,1,20
Algeria,Portugal,Immigrant/PR,Male,75,Professional Degree,Unemployed,Permanent Residence,Basic,60185.86,176827.9,1,0,1,1,1,1,1,47
Ghana,Ireland,Transit,Female,55,PhD,Retired,Medical,Advanced,8851.79,15440.59,4,0,1,1,1,1,1,15
Pakistan,United States,Family/Spouse,Female,68,Bachelor's Degree,Self-Employed,Tourism,Intermediate,28048.46,16506.2,3,0,1,1,1,1,0,38
Ethiopia,Switzerland,Business,Female,38,No Formal Education,Self-Employed,Work Assignment,Native,63159.31,19371.77,9,0,1,1,1,0,1,18
Romania,Turkey,Transit,Female,31,Associate Degree,Private Sector,Tourism,Advanced,15672.73,14987.95,4,0,1,1,0,1,1,3
Nigeria,South Korea,Family/Spouse,Female,66,Bachelor's Degree,Student,Permanent Residence,Advanced,13864.67,23767.47,0,0,1,1,1,1,1,23
Germany,Norway,Tourist,Female,49,Bachelor's Degree,Government,Permanent Residence,Advanced,56063.73,15110.2,0,0,1,1,1,1,0,12
Algeria,Singapore,Immigrant/PR,Female,56,Bachelor's Degree,Private Sector,Work Assignment,Basic,149597.23,240144.45,0,0,1,1,1,1,1,23
France,United Kingdom,Immigrant/PR,Male,42,Professional Degree,Government,Work Assignment,Intermediate,10775.61,15151.33,4,0,1,1,1,0,1,44
Indonesia,Ireland,Business,Female,69,Master's Degree,Government,Conference,Basic,38625.83,29329.99,1,0,1,1,1,1,0,17
France,Canada,Family/Spouse,Female,59,PhD,Student,Permanent Residence,Intermediate,15579.95,2592.38,0,0,1,1,1,1,1,27
United States,Sweden,Family/Spouse,Female,50,Bachelor's Degree,Self-Employed,Medical,Advanced,38236.58,110919.9,1,0,1,1,0,1,1,11
Colombia,Spain,Transit,Female,51,Master's Degree,Retired,Education,Basic,12459.41,26235.68,2,0,1,1,0,0,0,14
Morocco,Portugal,Immigrant/PR,Male,75,Master's Degree,Student,Conference,Intermediate,4438.27,2166.01,1,0,1,1,0,1,0,37
Mexico,Schengen (EU),Transit,Male,52,Associate Degree,Self-Employed,Conference,Basic,86527.51,128099.88,1,0,1,1,1,1,0,16
Hungary,India,Tourist,Female,46,Bachelor's Degree,Student,Permanent Residence,Intermediate,67599.08,181113.72,1,0,0,1,1,0,1,10
Brazil,Schengen (EU),Business,Female,56,Master's Degree,Self-Employed,Education,Intermediate,94390.76,28248.06,1,0,1,1,1,0,0,16
Argentina,UAE,Tourist,Female,34,Master's Degree,Government,Education,None,162636.28,68525.67,2,0,1,1,0,0,1,7
Nepal,Sweden,Tourist,Female,70,PhD,Private Sector,Medical,Intermediate,7379.35,1890.51,1,0,1,1,1,0,0,13
Ecuador,Netherlands,Family/Spouse,Female,77,Master's Degree,Student,Work Assignment,Native,29098.14,39515.89,0,0,1,1,1,1,1,19
Afghanistan,Singapore,Transit,Female,39,Bachelor's Degree,Unemployed,Business Meeting,Native,61512.42,127164.54,4,0,1,1,0,1,1,15
Syria,Schengen (EU),Family/Spouse,Male,51,Bachelor's Degree,Private Sector,Conference,Advanced,15168.89,6097.87,0,0,0,1,1,1,0,36
Bangladesh,South Africa,Student,Female,43,Bachelor's Degree,Private Sector,Business Meeting,Intermediate,58284.99,56442.38,0,0,1,1,1,1,0,28
China,Italy,Work,Male,49,Associate Degree,Retired,Business Meeting,Native,58188.27,43878.02,1,0,1,1,1,1,0,35
Qatar,United States,Tourist,Male,67,No Formal Education,Private Sector,Business Meeting,Intermediate,11181.52,30504.72,0,0,1,1,1,0,1,12
Japan,Germany,Immigrant/PR,Male,74,Bachelor's Degree,Student,Permanent Residence,Intermediate,30886.89,68549.77,11,0,1,1,1,1,1,34
Argentina,United States,Student,Female,51,Professional Degree,Self-Employed,Family Visit,Advanced,32094.55,53798.84,0,0,1,1,1,1,1,20
Tunisia,Belgium,Business,Male,49,Master's Degree,Self-Employed,Work Assignment,Native,106391.02,178743.13,4,0,0,0,1,0,1,18
United Kingdom,Thailand,Family/Spouse,Male,70,Bachelor's Degree,Private Sector,Education,Advanced,4312.32,10346.46,2,0,1,1,1,1,1,5
Japan,Denmark,Work,Male,63,High School,Private Sector,Permanent Residence,Advanced,7456.36,4034.65,1,0,0,1,1,1,0,23
Russia,South Africa,Transit,Male,44,No Formal Education,Student,Business Meeting,Basic,12023.62,31125.7,5,0,1,1,1,1,1,11
Canada,Switzerland,Business,Female,37,Master's Degree,Self-Employed,Education,Advanced,138835.72,263884.06,1,0,1,1,1,0,1,18
Yemen,Norway,Immigrant/PR,Male,68,High School,Student,Medical,Advanced,55470.72,112519.93,0,0,1,1,0,1,1,52
Qatar,Spain,Family/Spouse,Female,66,Professional Degree,Self-Employed,Tourism,Intermediate,19871.38,54472.08,4,0,0,1,1,1,0,18
Ghana,Taiwan,Family/Spouse,Male,59,Associate Degree,Student,Medical,Intermediate,76888.42,18423.56,6,0,1,1,1,0,1,19
Indonesia,Switzerland,Work,Male,33,High School,Private Sector,Medical,Basic,63532.71,173947.32,3,0,1,1,1,1,0,21
Argentina,Spain,Student,Male,70,High School,Self-Employed,Family Visit,Intermediate,41119.36,75737.25,4,0,1,0,0,1,1,22
Senegal,Sweden,Work,Male,26,High School,Student,Family Visit,Basic,285991.64,309641.97,4,0,1,1,1,1,1,25
Nepal,Turkey,Immigrant/PR,Female,64,Bachelor's Degree,Government,Permanent Residence,Native,58222.17,58058.04,5,0,1,0,1,0,1,11
Mexico,Italy,Student,Female,60,Bachelor's Degree,Retired,Family Visit,Basic,35150.95,39679.69,8,0,1,1,1,0,1,27
Yemen,Canada,Business,Female,53,Bachelor's Degree,Unemployed,Work Assignment,None,67342.39,30755.91,2,0,1,1,1,1,1,28
Algeria,Malaysia,Family/Spouse,Male,57,Bachelor's Degree,Private Sector,Permanent Residence,None,20487.54,25396.88,2,0,0,1,0,1,0,11
Mexico,China,Work,Male,58,Bachelor's Degree,Private Sector,Family Visit,Advanced,12017.63,20707.53,0,0,1,1,1,1,1,19
Ethiopia,Ireland,Family/Spouse,Male,42,Bachelor's Degree,Retired,Tourism,Native,5769.46,6272.11,2,0,1,1,1,1,1,19
Nepal,Malaysia,Tourist,Female,41,High School,Private Sector,Medical,Intermediate,16175.98,30994.47,2,0,1,1,1,1,1,10
Yemen,Schengen (EU),Tourist,Female,55,High School,Government,Work Assignment,Basic,13828.88,36557.52,8,0,1,1,1,1,1,19
Saudi Arabia,South Africa,Immigrant/PR,Male,52,Bachelor's Degree,Student,Work Assignment,Advanced,24181.63,72273.02,0,0,1,1,0,1,1,38
Sri Lanka,Belgium,Transit,Male,30,Master's Degree,Private Sector,Education,Intermediate,42619.65,122599.64,0,1,1,1,0,0,0,17
Morocco,Netherlands,Transit,Female,57,Bachelor's Degree,Government,Conference,Intermediate,13695.49,15223.62,0,0,1,0,1,1,1,14
Chile,China,Family/Spouse,Male,71,Associate Degree,Student,Conference,Basic,12547.48,10939.99,0,0,1,1,0,0,0,13
Vietnam,Austria,Immigrant/PR,Female,79,Master's Degree,Self-Employed,Family Visit,Intermediate,9094.87,15766.31,0,0,1,1,0,1,0,32
Malaysia,Norway,Tourist,Male,68,No Formal Education,Self-Employed,Tourism,Basic,31419.71,87961.78,5,0,1,1,1,1,1,15
Bangladesh,Spain,Transit,Male,65,Master's Degree,Self-Employed,Medical,Advanced,32581.73,75166.36,9,0,1,0,1,1,1,15
Yemen,UAE,Work,Male,73,Master's Degree,Private Sector,Medical,Intermediate,6525.69,14271.66,1,0,1,1,1,1,0,22
Egypt,Italy,Work,Male,30,PhD,Private Sector,Education,Advanced,44999.24,75465.38,0,0,1,1,1,1,0,40
Myanmar,Taiwan,Transit,Male,35,Master's Degree,Student,Permanent Residence,Basic,33400.19,86362.06,2,0,1,1,0,1,0,9
Japan,Portugal,Tourist,Male,58,PhD,Student,Tourism,Intermediate,16783.31,45456.26,3,0,1,1,0,1,1,14
Pakistan,Norway,Business,Female,53,Master's Degree,Private Sector,Education,Basic,114446.35,280652.08,3,0,1,1,0,1,0,14
Argentina,Sweden,Student,Female,49,Bachelor's Degree,Private Sector,Business Meeting,Intermediate,203537.64,65354.66,0,0,1,1,1,0,1,15
Peru,Switzerland,Tourist,Male,80,High School,Government,Family Visit,Native,48935.06,105895.28,11,0,1,1,1,0,1,15
Nepal,India,Work,Male,33,Bachelor's Degree,Student,Conference,Advanced,55257.42,112346.15,0,0,1,1,0,0,1,17
Senegal,United Kingdom,Immigrant/PR,Female,67,Master's Degree,Self-Employed,Tourism,Basic,25181.56,74820.73,9,0,1,1,1,0,0,45
Poland,Portugal,Transit,Female,77,PhD,Self-Employed,Business Meeting,Native,12040.46,34596.18,0,0,1,1,1,1,1,9
Poland,China,Immigrant/PR,Female,55,Bachelor's Degree,Private Sector,Family Visit,Intermediate,67619.39,56827.09,1,0,0,1,0,1,1,40
Iraq,Japan,Immigrant/PR,Male,58,PhD,Private Sector,Permanent Residence,Intermediate,22761.0,38362.11,2,0,0,1,1,0,1,36
Nepal,Belgium,Immigrant/PR,Male,46,Master's Degree,Government,Conference,Intermediate,102521.83,222123.99,5,0,1,1,1,1,1,46
Malaysia,Denmark,Work,Male,77,Bachelor's Degree,Private Sector,Permanent Residence,Intermediate,70997.03,28206.86,2,0,1,1,1,1,1,26
Turkey,Malaysia,Immigrant/PR,Female,61,High School,Self-Employed,Tourism,Advanced,16988.12,29389.63,8,0,1,1,1,1,0,8
Senegal,Sweden,Student,Female,33,Bachelor's Degree,Private Sector,Medical,Advanced,21206.36,51319.61,2,0,0,1,0,1,1,27
Morocco,Japan,Immigrant/PR,Male,76,High School,Unemployed,Medical,Intermediate,53213.08,59789.13,2,0,1,1,0,1,0,20
Germany,Turkey,Student,Male,59,High School,Student,Permanent Residence,Advanced,20045.0,18067.07,1,1,0,1,0,1,1,9
Syria,Portugal,Tourist,Male,49,Master's Degree,Government,Permanent Residence,Advanced,13341.87,38808.29,2,0,0,1,0,0,1,31
Indonesia,Ireland,Student,Female,80,Bachelor's Degree,Private Sector,Education,Advanced,21700.48,39147.64,3,0,1,0,1,1,1,22
Poland,Sweden,Student,Female,62,Bachelor's Degree,Student,Medical,Native,220946.76,300191.71,0,0,1,0,1,1,0,22
Senegal,France,Tourist,Female,60,PhD,Private Sector,Business Meeting,Advanced,135263.07,45358.12,9,0,1,1,1,1,1,20
Iraq,Sweden,Work,Female,57,PhD,Retired,Medical,Advanced,14975.7,35693.42,1,0,1,1,1,1,1,37
UAE,Belgium,Work,Female,74,No Formal Education,Self-Employed,Tourism,Advanced,154697.09,132217.45,0,0,0,1,1,1,0,20
Germany,United States,Business,Female,77,High School,Student,Medical,Intermediate,38308.64,105348.26,9,0,1,1,1,1,1,19
Qatar,France,Family/Spouse,Female,58,Bachelor's Degree,Unemployed,Tourism,Basic,10018.53,21163.67,0,0,0,0,1,1,1,15
China,Norway,Business,Female,68,Associate Degree,Private Sector,Conference,Intermediate,9697.23,27962.95,2,0,1,1,1,1,1,19
Nepal,Netherlands,Family/Spouse,Female,38,Professional Degree,Private Sector,Medical,Intermediate,23574.31,37073.78,1,0,1,0,1,1,1,16
Afghanistan,Belgium,Business,Female,53,High School,Private Sector,Work Assignment,Intermediate,24358.1,15393.89,5,0,1,0,0,1,1,26
Ukraine,Germany,Business,Male,58,Bachelor's Degree,Private Sector,Conference,Intermediate,9155.67,10222.39,1,0,1,1,1,1,0,16
Yemen,China,Student,Female,60,Master's Degree,Private Sector,Tourism,None,40727.06,28549.78,3,0,1,1,0,0,1,23
Syria,Australia,Student,Female,42,Associate Degree,Self-Employed,Education,Basic,75653.97,198141.89,3,0,1,1,0,1,1,46
Algeria,Thailand,Immigrant/PR,Female,60,Bachelor's Degree,Private Sector,Education,Advanced,5818.35,5047.08,3,0,1,1,0,0,1,21
United States,Schengen (EU),Immigrant/PR,Male,67,Master's Degree,Student,Tourism,Native,19352.02,52497.91,16,0,1,1,1,0,1,44
China,Canada,Transit,Male,73,PhD,Student,Conference,Advanced,8435.85,8495.37,3,0,0,1,1,1,1,20
Russia,India,Student,Male,66,High School,Private Sector,Permanent Residence,Advanced,38857.22,27734.11,16,1,1,1,1,1,1,23
Mexico,Taiwan,Immigrant/PR,Female,50,High School,Private Sector,Tourism,Advanced,16541.76,30403.35,0,0,1,1,1,0,0,32
Venezuela,South Africa,Family/Spouse,Female,30,Associate Degree,Retired,Business Meeting,Advanced,32669.68,69836.57,0,0,1,1,0,1,0,28
Hungary,Turkey,Transit,Female,61,Master's Degree,Government,Tourism,Intermediate,19575.43,50062.69,0,0,0,1,1,1,1,3
UAE,Turkey,Business,Male,80,High School,Unemployed,Work Assignment,Advanced,8077.19,6253.9,0,0,1,1,0,0,0,4
Iran,Taiwan,Immigrant/PR,Male,38,Bachelor's Degree,Student,Permanent Residence,Basic,120640.63,230374.81,0,0,0,1,0,1,1,31
Nigeria,Thailand,Student,Female,58,Master's Degree,Retired,Tourism,Native,27352.12,40084.95,3,0,1,1,0,1,1,13
Thailand,South Africa,Transit,Female,54,PhD,Private Sector,Family Visit,Advanced,28977.62,34173.38,3,0,1,1,0,0,1,7
Algeria,Japan,Immigrant/PR,Female,67,High School,Private Sector,Work Assignment,Advanced,321061.96,580449.83,4,0,1,0,0,0,1,22
Iran,Malaysia,Student,Female,52,Bachelor's Degree,Unemployed,Family Visit,Advanced,32260.83,17679.82,2,0,1,1,1,1,1,17
Russia,Denmark,Immigrant/PR,Female,74,High School,Government,Conference,Advanced,89289.4,50535.19,0,0,1,0,1,0,1,30
United States,New Zealand,Student,Male,48,Master's Degree,Private Sector,Work Assignment,Native,17218.8,19992.22,1,0,1,0,0,1,1,17
Senegal,Spain,Immigrant/PR,Male,60,Professional Degree,Student,Family Visit,Intermediate,20912.9,29723.42,3,0,1,1,1,1,1,52
Chile,Italy,Tourist,Female,45,High School,Self-Employed,Family Visit,Intermediate,22236.65,24240.91,1,0,0,0,0,1,1,19
Iran,Schengen (EU),Work,Female,74,PhD,Student,Work Assignment,Intermediate,14351.59,19750.2,3,0,1,1,1,0,1,43
Romania,Portugal,Immigrant/PR,Male,48,Bachelor's Degree,Government,Family Visit,Advanced,9811.75,3993.13,6,0,1,1,1,1,0,33
Poland,Ireland,Immigrant/PR,Male,69,Master's Degree,Government,Education,Advanced,10384.62,6234.09,2,0,1,1,1,1,0,22
Vietnam,Portugal,Tourist,Female,42,Bachelor's Degree,Private Sector,Medical,Advanced,7076.38,2276.3,6,0,0,0,1,0,0,17
Qatar,Sweden,Family/Spouse,Male,57,Associate Degree,Retired,Conference,Advanced,23341.6,43062.41,8,0,1,1,1,1,0,12
Ecuador,South Korea,Immigrant/PR,Female,68,Bachelor's Degree,Private Sector,Permanent Residence,None,33665.08,34573.73,1,0,1,1,1,1,1,30
Australia,Japan,Work,Male,75,Bachelor's Degree,Retired,Work Assignment,Native,38313.13,107640.04,7,0,1,1,1,1,1,18
Peru,South Africa,Transit,Female,49,Bachelor's Degree,Self-Employed,Business Meeting,Advanced,18544.19,18443.27,2,0,0,1,0,1,0,11
Germany,Belgium,Family/Spouse,Male,67,Master's Degree,Retired,Family Visit,Advanced,12970.04,36598.04,0,0,1,1,1,1,1,13
Afghanistan,Singapore,Family/Spouse,Female,33,High School,Private Sector,Business Meeting,Intermediate,15269.2,2576.72,5,1,0,1,1,1,1,23
Malaysia,Spain,Student,Female,39,Bachelor's Degree,Private Sector,Conference,Advanced,69671.72,61821.58,7,0,1,0,1,1,0,19
Russia,Japan,Transit,Male,48,Associate Degree,Private Sector,Work Assignment,Basic,16253.78,24841.5,1,0,1,1,0,1,1,12
Venezuela,Thailand,Family/Spouse,Male,50,Bachelor's Degree,Private Sector,Business Meeting,Basic,7207.43,19241.32,6,0,1,1,0,1,0,18
Mexico,Schengen (EU),Business,Female,59,High School,Private Sector,Education,Advanced,1403.78,3666.25,1,0,1,1,1,1,1,22
Vietnam,New Zealand,Tourist,Male,69,Bachelor's Degree,Private Sector,Permanent Residence,Intermediate,52231.85,43549.68,6,0,0,1,1,1,1,20
United Kingdom,Austria,Student,Female,61,Master's Degree,Self-Employed,Medical,Advanced,12508.2,24909.87,0,0,1,0,1,0,1,26
Syria,UAE,Student,Male,30,Associate Degree,Government,Conference,Intermediate,39554.41,22985.58,0,0,1,1,0,1,0,24
Poland,Australia,Family/Spouse,Female,55,Master's Degree,Retired,Education,Intermediate,31333.24,71858.69,0,0,1,0,1,0,0,28
Japan,Sweden,Immigrant/PR,Male,46,Master's Degree,Self-Employed,Tourism,None,48240.54,25559.32,0,0,1,1,1,1,0,45
Germany,China,Work,Male,54,Professional Degree,Private Sector,Medical,Basic,20170.19,5866.58,6,0,1,1,0,1,1,24
Saudi Arabia,Canada,Business,Male,63,PhD,Private Sector,Conference,Basic,53077.71,123445.29,1,0,1,1,0,1,1,16
Nigeria,China,Tourist,Male,43,Associate Degree,Government,Education,Native,10893.61,17618.43,0,0,1,1,0,1,0,23
Japan,New Zealand,Immigrant/PR,Male,72,PhD,Unemployed,Permanent Residence,Native,50354.02,103764.75,1,0,1,1,0,1,1,42
Saudi Arabia,Australia,Family/Spouse,Male,76,PhD,Private Sector,Business Meeting,Advanced,4977.36,9395.48,1,0,1,1,1,0,1,24
Hungary,India,Student,Male,53,Master's Degree,Self-Employed,Business Meeting,Intermediate,23829.38,9196.31,0,0,1,1,1,1,1,17
Vietnam,Australia,Transit,Male,53,High School,Private Sector,Family Visit,Native,119266.18,136369.3,1,0,1,1,1,1,1,12
Colombia,Schengen (EU),Student,Female,54,Professional Degree,Unemployed,Tourism,Native,3899.58,7292.58,0,0,0,1,1,1,0,26
Pakistan,Australia,Work,Female,59,Bachelor's Degree,Student,Tourism,None,107423.26,87814.14,6,0,1,0,1,0,0,52
Thailand,Turkey,Student,Female,78,Master's Degree,Self-Employed,Education,Basic,35817.6,53782.04,1,0,0,1,0,0,0,7
Ghana,Netherlands,Transit,Male,39,Professional Degree,Student,Permanent Residence,Intermediate,48844.5,137599.39,12,0,1,1,0,0,1,12
Nigeria,New Zealand,Family/Spouse,Male,41,Master's Degree,Private Sector,Permanent Residence,None,9792.79,3774.44,9,0,1,1,0,0,1,29
United Kingdom,Singapore,Immigrant/PR,Male,56,Bachelor's Degree,Student,Work Assignment,Intermediate,114351.86,301373.33,5,0,1,1,1,0,1,15
Yemen,China,Work,Male,49,PhD,Government,Permanent Residence,Advanced,44477.77,132985.26,0,0,1,0,0,1,0,32
Turkey,New Zealand,Work,Male,31,Bachelor's Degree,Private Sector,Medical,Intermediate,172422.36,51820.74,5,0,1,0,1,1,1,42
Senegal,Denmark,Transit,Male,61,Bachelor's Degree,Private Sector,Business Meeting,Intermediate,21986.41,8020.54,1,0,0,1,0,0,0,11
Qatar,South Africa,Tourist,Male,51,Bachelor's Degree,Student,Education,Advanced,78772.4,75437.81,0,0,0,1,1,1,1,8
